,Article_ID,Date,wordCount,Source
155,Batch 01 - BBC  - 1297,18 March 2024,925,BBC
156,6BXW-88B1-F03R-N3N7-00000-00,02 May 2024,1508,Al Jazeera English
157,69P2-5751-DY7V-G17N-00000-00,09 October 2023,563,CNN Wire
158,6BF8-DBR1-F03R-N03C-00000-00,28 February 2024,1676,Al Jazeera English
159,Batch 01 - BBC  - 476,23 October 2023,1372,BBC
160,6C9P-KGW1-F03R-N0KV-00000-00,22 June 2024,1400,Al Jazeera English
161,6CWG-KHK1-JCMN-Y001-00000-00,04 September 2024,993,Al Jazeera English
162,6B0M-N3F1-JCMN-Y368-00000-00,31 December 2023,1329,Al Jazeera English
163,69HV-D0N1-F03R-N4G7-00000-00,01 November 2023,1351,Al Jazeera English
164,6CHG-GM11-JBSS-S00F-00000-00,19 July 2024,1737,CNN Wire
165,6D2P-C8X1-JCMN-Y0FW-00000-00,28 September 2024,1091,Al Jazeera English
166,6BBD-GR41-F03R-N000-00000-00,15 February 2024,968,Al Jazeera English
167,Batch 01 - BBC  - 1842,17 March 2024,1788,BBC
168,6B1P-1921-JCMN-Y4MB-00000-00,05 January 2024,1177,Al Jazeera English
169,6BK2-DCH1-F03R-N1S4-00000-00,17 March 2024,1773,Al Jazeera English
170,69FY-JPC1-JCMN-Y3P4-00000-00,23 October 2023,566,Al Jazeera English
171,6C46-1291-JCMN-Y0XG-00000-00,27 May 2024,1386,Al Jazeera English
172,6CXR-F5B1-F03R-N4F1-00000-00,10 September 2024,344,Al Jazeera English
173,6BFF-D931-JCMN-Y01Y-00000-00,29 February 2024,955,Al Jazeera English
174,6B19-WDN1-F03R-N0XV-00000-00,03 January 2024,817,Al Jazeera English
175,6BCY-S6F1-F03R-N43N-00000-00,22 February 2024,1090,Al Jazeera English
176,Batch 01 - BBC  - 1824,10 November 2023,908,BBC
177,Batch 01 - BBC  - 1093,26 June 2024,1116,BBC
178,6C6B-HTF1-JCMN-Y3V5-00000-00,06 June 2024,705,Al Jazeera English
179,69CD-BGK1-JBSS-S08J-00000-00,11 October 2023,804,CNN Wire
180,6CKM-BD11-JCMN-Y0JM-00000-00,29 July 2024,682,Al Jazeera English
181,6B30-GV61-JCMN-Y0T4-00000-00,11 January 2024,1068,Al Jazeera English
182,69P2-P611-DY7V-G3FV-00000-00,21 November 2023,1791,CNN Wire
183,Batch 01 - BBC  - 1817,17 March 2024,71,BBC
184,6C33-G6N1-JBG3-63M4-00000-00,22 May 2024,766,The New York Times
185,69CB-65P1-F03R-N004-00000-00,11 October 2023,667,Al Jazeera English
186,69NN-WPK1-JCMN-Y4F3-00000-00,19 November 2023,562,Al Jazeera English
187,69MV-9Y71-F03R-N1VT-00000-00,15 November 2023,962,Al Jazeera English
188,69GC-9WC1-JCMN-Y0V3-00000-00,25 October 2023,1235,Al Jazeera English
189,Batch 01 - BBC  - 778,12 April 2024,880,BBC
190,6C9Y-CJF1-F03R-N0KV-00000-00,23 June 2024,814,Al Jazeera English
191,6BRP-S751-DXY4-X021-00000-00,08 April 2024,698,The New York Times
192,69HM-3W51-JCMN-Y2Y9-00000-00,31 October 2023,721,Al Jazeera English
193,6CNG-4M41-DXY4-X0CK-00000-00,06 August 2024,425,The New York Times
194,6CNS-H9M1-JBG3-600B-00000-00,08 August 2024,645,The New York Times
195,69HC-TW31-JBG3-60GS-00000-00,30 October 2023,231,The New York Times
196,69GV-7RD1-DXY4-X003-00000-00,27 October 2023,2446,The New York Times
197,6B4N-MC91-JBG3-600R-00000-00,19 January 2024,351,The New York Times
198,69FY-V631-JBG3-642K-00000-00,23 October 2023,1029,The New York Times
199,69C0-4281-DXY4-X04V-00000-00,09 October 2023,1210,The New York Times
200,69XJ-6741-DXY4-X19J-00000-00,21 December 2023,1277,The New York Times
201,69FG-37F1-DXY4-X00H-00000-00,21 October 2023,1202,The New York Times
202,69SF-BP81-DXY4-X007-00000-00,02 December 2023,1543,The New York Times
203,69D0-8XS1-JBG3-61FT-00000-00,14 October 2023,1417,The New York Times
204,69G6-2671-JBG3-653G-00000-00,24 October 2023,1250,The New York Times
205,69P2-8PC1-JBSS-S054-00000-00,18 October 2023,1265,CNN Wire
206,69S2-7DP1-JCMN-Y08B-00000-00,30 November 2023,1399,Al Jazeera English
207,69H4-V3G1-F03R-N003-00000-00,28 October 2023,601,Al Jazeera English
